edge:foreign_key:0	app0.M3	app0.M0	foreign_key	declared
edge:foreign_key:1	app0.M4	app0.M0	foreign_key	declared
edge:foreign_key:2	app0.M5	app0.M0	foreign_key	declared
edge:foreign_key:3	app0.M8	app0.M0	foreign_key	declared
edge:foreign_key:4	app0.M9	app0.M0	foreign_key	declared
edge:foreign_key:5	app0.M3	app0.M5	foreign_key	declared
edge:foreign_key:6	app0.M1	app0.M4	foreign_key	declared
edge:foreign_key:7	app0.M0	core.Hub0	foreign_key	declared
edge:foreign_key:8	app0.M0	core.Hub1	foreign_key	declared
edge:foreign_key:9	app1.M2	app1.M0	foreign_key	declared
edge:foreign_key:10	app1.M3	app1.M0	foreign_key	declared
edge:foreign_key:11	app1.M4	app1.M0	foreign_key	declared
edge:foreign_key:12	app1.M6	app1.M0	foreign_key	declared
edge:foreign_key:13	app1.M7	app1.M0	foreign_key	declared
edge:foreign_key:14	app1.M6	app1.M9	foreign_key	declared
edge:foreign_key:15	app1.M4	app1.M8	foreign_key	declared
edge:foreign_key:16	app2.M1	app2.M0	foreign_key	declared
edge:foreign_key:17	app2.M2	app2.M0	foreign_key	declared
edge:foreign_key:18	app2.M3	app2.M0	foreign_key	declared
edge:foreign_key:19	app2.M4	app2.M0	foreign_key	declared
edge:foreign_key:20	app2.M2	app2.M3	foreign_key	declared
edge:foreign_key:21	app2.M0	core.Hub0	foreign_key	declared
edge:foreign_key:22	app2.M0	core.Hub1	foreign_key	declared
edge:foreign_key:23	app2.M0	core.Hub2	foreign_key	declared
edge:foreign_key:24	app3.M2	app3.M0	foreign_key	declared
edge:foreign_key:25	app3.M3	app3.M0	foreign_key	declared
edge:foreign_key:26	app3.M3	app3.M1	foreign_key	declared
edge:foreign_key:27	app4.M1	app4.M0	foreign_key	declared
edge:foreign_key:28	app4.M2	app4.M0	foreign_key	declared
edge:foreign_key:29	app4.M1	app4.M2	foreign_key	declared
edge:foreign_key:30	app4.M0	core.Hub0	foreign_key	declared
